IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
160012692,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Tuesday,##########,15:30,PARK,NONE,1000 Block of OAK ST,-122.43661,37.7732918,"(37.773291806903, -122.436614181331)",1.6001E+13
160012711,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,##########,18:04,SOUTHERN,"ARREST, BOOKED",BRYANT ST / ZOE ST,-122.39685,37.7805276,"(37.780527578509, -122.396849015172)",1.6001E+13
160012711,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Tuesday,##########,18:04,SOUTHERN,"ARREST, BOOKED",BRYANT ST / ZOE ST,-122.39685,37.7805276,"(37.780527578509, -122.396849015172)",1.6001E+13
160013361,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Tuesday,##########,19:30,INGLESIDE,NONE,300 Block of JUDSON AV,-122.45,37.7284181,"(37.7284180706602, -122.450000790445)",1.6001E+13
160013377,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,##########,23:22,BAYVIEW,"ARREST, BOOKED",PHELPS ST / CARROLL AV,-122.40083,37.7292115,"(37.7292114647359, -122.400834283031)",1.6001E+13
160013383,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,##########,20:40,SOUTHERN,NONE,MISSION ST / 2ND ST,-122.3998,37.7880065,"(37.7880065324392, -122.399802145799)",1.6001E+13
160013399,SECONDARY CODES,JUVENILE INVOLVED,Tuesday,##########,23:15,BAYVIEW,"ARREST, BOOKED",3RD ST / EGBERT AV,-122.39493,37.7239748,"(37.7239748241609, -122.3949284758)",1.6001E+13
160013399,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Tuesday,##########,23:15,BAYVIEW,"ARREST, BOOKED",3RD ST / EGBERT AV,-122.39493,37.7239748,"(37.7239748241609, -122.3949284758)",1.6001E+13
160013399,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,##########,23:15,BAYVIEW,"ARREST, BOOKED",3RD ST / EGBERT AV,-122.39493,37.7239748,"(37.7239748241609, -122.3949284758)",1.6001E+13
160013402,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,##########,20:30,CENTRAL,NONE,600 Block of TAYLOR ST,-122.41186,37.7883235,"(37.7883235449904, -122.41185703254)",1.6001E+13
160013418,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,##########,23:30,MISSION,"ARREST, BOOKED",22ND ST / BRYANT ST,-122.40944,37.7559977,"(37.7559977339856, -122.409435617106)",1.6001E+13
160189188,NON-CRIMINAL,LOST PROPERTY,Wednesday,##########,15:00,NORTHERN,NONE,1500 Block of SUTTER ST,-122.42588,37.7870798,"(37.7870798144443, -122.425883358148)",1.6019E+13
160013703,NON-CRIMINAL,"LICENSE PLATE, RECOVERED",Tuesday,##########,19:45,INGLESIDE,NONE,200 Block of OGDEN AV,-122.41513,37.7360374,"(37.7360374466862, -122.415126543001)",1.6001E+13
160013719,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,##########,09:00,INGLESIDE,"ARREST, BOOKED",GENEVA AV / PRAGUE ST,-122.43193,37.7127679,"(37.712767884821, -122.431928011089)",1.6001E+13
160013725,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,##########,08:10,CENTRAL,"ARREST, BOOKED",0 Block of MONTGOMERY ST,-122.40216,37.789571,"(37.7895710255863, -122.402163713618)",1.6001E+13
160013822,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,##########,09:21,INGLESIDE,"ARREST, BOOKED",MISSION ST / TRUMBULL ST,-122.42931,37.7307429,"(37.7307429169559, -122.429306728376)",1.6001E+13
160013872,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,##########,23:59,TENDERLOIN,NONE,300 Block of EDDY ST,-122.41379,37.7838366,"(37.7838365565348, -122.413790972781)",1.6001E+13
160013888,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,##########,09:46,INGLESIDE,"ARREST, BOOKED",MISSION ST / TRUMBULL ST,-122.42931,37.7307429,"(37.7307429169559, -122.429306728376)",1.6001E+13
